Original,Scrambled
asfastasthoushaltwanesofastthougrowstinoneofthinefromthatwhichthoudepartestandthatfreshbloodwhichyounglythoubestowstthoumaystcallthinewhenthoufromyouthconvertesthereinliveswisdombeautyandincreasewithoutthisfollyageandcolddecayifallweremindedsothetimesshouldceaseandthreescoreyearwouldmaketheworldawayletthosewhomnaturehathnotmadeforstoreharshfeaturelessandrudebarrenlyperishlookwhomshebestendowedshegavetheemorewhichbounteousgiftthoushouldstinbountycherishshecarvedtheeforhersealandmeanttherebythoushouldstprintmorenotletthatcopydie,purpucpucxdmuxpkcbpwiudrpuccxdmgjdbucewdwidrcxewirjdvcxpcbxeyxcxdmsiqpjciucpwscxpcrjiuxfkddsbxeyxldmwgklcxdmfiucdbuccxdmvplucypkkcxewibxiwcxdmrjdvldmcxydwtijciucxijiewketiubeusdvfipmclpwsewyjipuibecxdmccxeurdkklpgipwsydkssiyplerpkkbijivewsisudcxiceviuuxdmksyipuipwscxjiiuydjilipjbdmksvpzicxibdjkspbplkiccxduibxdvwpcmjixpcxwdcvpsirdjucdjixpjuxripcmjikiuupwsjmsifpjjiwklqijeuxkddzbxdvuxifiuciwsdbisuxigpticxiivdjibxeyxfdmwcidmugerccxdmuxdmksucewfdmwclyxijeuxuxiypjtiscxiirdjxijuipkpwsvipwccxijiflcxdmuxdmksucqjewcvdjiwdckiccxpcydqlsei
whenidocounttheclockthattellsthetimeandseethebravedaysunkinhideousnightwhenibeholdthevioletpastprimeandsablecurlsallsilveredoerwithwhitewhenloftytreesiseebarrenofleaveswhicherstfromheatdidcanopytheherdandsummersgreenallgirdedupinsheavesborneonthebierwithwhiteandbristlybeardthenofthybeautydoiquestionmakethatthouamongthewastesoftimemustgosincesweetsandbeautiesdothemselvesforsakeanddieasfastastheyseeothersgrowandnothinggainsttimesscythecanmakedefencesavebreedtobravehimwhenhetakestheehence,qcbwdpvzvgwrrcbzfvznrcarrbffkrcbrdybawpkbbrcbtjalbpaekgwndwcdpbvgkwdocrqcbwdtbcvfprcbldvfbrmakrmjdybawpkatfbzgjfkaffkdflbjbpvbjqdrcqcdrbqcbwfvurerjbbkdkbbtajjbwvufbalbkqcdzcbjkrujvycbarpdpzawvmercbcbjpawpkgyybjkojbbwaffodjpbpgmdwkcbalbktvjwbvwrcbtdbjqdrcqcdrbawptjdkrfetbajprcbwvurcetbagrepvdxgbkrdvwyanbrcarrcvgayvworcbqakrbkvurdybygkrovkdwzbkqbbrkawptbagrdbkpvrcbykbflbkuvjkanbawppdbakuakrakrcbekbbvrcbjkojvqawpwvrcdwooadwkrrdybkkzercbzawyanbpbubwzbkalbtjbbprvtjalbcdyqcbwcbranbkrcbbcbwzb
othatyouwereyourselfbutloveyouarenolongeryoursthanyouyourselfhereliveagainstthiscomingendyoushouldprepareandyoursweetsemblancetosomeothergivesoshouldthatbeautywhichyouholdinleasefindnodeterminationthenyouwereyourselfagainafteryourselfsdeceasewhenyoursweetissueyoursweetformshouldbearwholetssofairahousefalltodecaywhichhusbandryinhonourmightupholdagainstthestormygustsofwintersdayandbarrenrageofdeathseternalcoldononebutunthriftsdearmyloveyouknowyouhadafatherletyoursonsayso,jhdwhkjusgygkjuycgmxtuhmjigkjuwygajmjabgykjuychdwakjukjuycgmxdgygmqigwbwqachhdqcvjfqabgarkjucdjumrnygnwygwarkjuycsgghcgftmwavghjcjfgjhdgybqigcjcdjumrhdwhtgwuhksdqvdkjudjmrqamgwcgxqarajrghgyfqawhqjahdgakjusgygkjuycgmxwbwqawxhgykjuycgmxcrgvgwcgsdgakjuycsgghqccugkjuycsgghxjyfcdjumrtgwysdjmghccjxwqywdjucgxwmmhjrgvwksdqvdductwarykqadjajuyfqbdhundjmrwbwqachhdgchjyfkbuchcjxsqahgycrwkwartwyygaywbgjxrgwhdcghgyawmvjmrjajagtuhuahdyqxhcrgwyfkmjigkjupajskjudwrwxwhdgymghkjuycjacwkcj
notfromthestarsdoimyjudgementpluckandyetmethinksihaveastronomybutnottotellofgoodorevilluckofplaguesofdearthsorseasonsqualitynorcanifortunetobriefminutestellpointingtoeachhisthunderrainandwindorsaywithprincesifitshallgowellbyoftpredictthatiinheavenfindbutfromthineeyesmyknowledgeideriveandconstantstarsinthemireadsuchartastruthandbeautyshalltogetherthriveiffromthyselftostorethouwouldstconvertorelseoftheethisiprognosticatethyendistruthsandbeautysdoomanddate,slktolfkqbakdoahlwfmgvhebfbskypvjudshmbkfbkqwsuawqdzbdakolslfmnvkslkklkbppltellhlobzwppvjultypdevbalthbdokqaloabdalsarvdpwkmslojdswtlokvsbklnowbtfwsvkbakbppylwskwseklbdjqqwakqvshboodwsdshcwshloadmcwkqyowsjbawtwkaqdppelcbppnmltkyobhwjkkqdkwwsqbdzbstwshnvktolfkqwsbbmbafmuslcpbhebwhbowzbdshjlsakdskakdoawskqbfwobdhavjqdokdakovkqdshnbdvkmaqdppklebkqbokqowzbwttolfkqmabptklaklobkqlvclvphakjlszboklobpabltkqbbkqwawyoleslakwjdkbkqmbshwakovkqadshnbdvkmahllfdshhdkb
wheniconsidereverythingthatgrowsholdsinperfectionbutalittlemomentthatthishugestagepresentethnoughtbutshowswhereonthestarsinsecretinfluencecommentwheniperceivethatmenasplantsincreasecheeredandcheckedevenbytheselfsameskyvauntintheiryouthfulsapatheightdecreaseandweartheirbravestateoutofmemorythentheconceitofthisinconstantstaysetsyoumostrichinyouthbeforemysightwherewastefultimedebatethwithdecaytochangeyourdayofyouthtosulliednightandallinwarwithtimeforloveofyouashetakesfromyouiengraftyounew,qdtuxroufxhtjtetjvldxuyldmlyjoqfdonhfxuatjztrlxoupklmnxllntwowtulldmlldxfdkytflmytajtftultlduokydlpklfdoqfqdtjtouldtflmjfxuftrjtlxuznkturtrowwtulqdtuxatjrtxetldmlwtumfanmulfxurjtmftrdttjthmuhrdtrbthtetupvldtftnzfmwtfbvemkulxuldtxjvokldzknfmamldtxydlhtrjtmftmuhqtmjldtxjpjmetflmltoklozwtwojvldtuldtrourtxlozldxfxurouflmulflmvftlfvokwofljxrdxuvokldptzojtwvfxydlqdtjtqmfltzknlxwthtpmltldqxldhtrmvlordmuytvokjhmvozvokldlofknnxthuxydlmuhmnnxuqmjqxldlxwtzojnoetozvokmfdtlmbtfzjowvokxtuyjmzlvokutq
butwhereforedonotyouamightierwaymakewaruponthisbloodytyranttimeandfortifyyourselfinyourdecaywithmeansmoreblessedthanmybarrenrhymenowstandyouonthetopofhappyhoursandmanymaidengardensyetunsetwithvirtuouswishwouldbearyoulivingflowersmuchlikerthanyourpaintedcounterfeitsoshouldthelinesoflifethatliferepairwhichthistimespencilormypupilpenneitherininwardworthnoroutwardfaircanmakeyouliveyourselfineyesofmentogiveawayyourselfkeepsyourselfstillandyoumustlivedrawnbyyourownsweetskill,roqifzgzjngzpnwnqdnocavefqvzgicdachzicgoynwqfvursnnpdqdgcwqqvazcwpjngqvjddnoguzsjvwdnogpztcdivqfazcwuangzrszuuzpqfcwadrcggzwgfdazwniuqcwpdnonwqfzqnynjfcyydfnogucwpacwdacvpzwecgpzwudzqowuzqivqfxvgqonouivufinosprzcgdnosvxvwejsnizguaotfsvhzgqfcwdnogycvwqzptnowqzgjzvqunufnospqfzsvwzunjsvjzqfcqsvjzgzycvgifvtfqfvuqvazuyzwtvsngadyoyvsyzwwzvqfzgvwvwicgpingqfwngnoqicgpjcvgtcwachzdnosvxzdnoguzsjvwzdzunjazwqnevxzcicddnoguzsjhzzyudnoguzsjuqvsscwpdnoaouqsvxzpgciwrddnogniwuizzquhvss
whowillbelievemyverseintimetocomeifitwerefilledwithyourmosthighdesertsthoughyetheavenknowsitisbutasatombwhichhidesyourlifeandshowsnothalfyourpartsificouldwritethebeautyofyoureyesandinfreshnumbersnumberallyourgracestheagetocomewouldsaythispoetliessuchheavenlytouchesneertouchedearthlyfacessoshouldmypapersyellowedwiththeiragebescornedlikeoldmenoflesstruththantongueandyourtruerightsbetermedapoetsrageandstretchedmetreofanantiquesongbutweresomechildofyoursalivethattimeyoushouldlivetwiceinitandinmyrhyme,kozkeppqhpehihndihwjheayenhyzvznhemeykhwhmepphgkeyodzfwnzjyoexoghjhwyjyozfxodhyohuihatazkjeyejqfyujuyznqkoevooeghjdzfwpemhuagjozkjazyoupmdzfwbuwyjemevzfpgkweyhyohqhufydzmdzfwhdhjuageamwhjoafnqhwjafnqhwuppdzfwxwuvhjyohuxhyzvznhkzfpgjudyoejbzhypehjjfvoohuihapdyzfvohjahhwyzfvohghuwyopdmuvhjjzjozfpgndbubhwjdhppzkhgkeyoyohewuxhqhjvzwahgpethzpgnhazmphjjywfyoyouayzaxfhuagdzfwywfhwexoyjqhyhwnhgubzhyjwuxhuagjywhyvohgnhywhzmuauayecfhjzaxqfykhwhjznhvoepgzmdzfwjupeihyouyyenhdzfjozfpgpeihykevheaeyuageandwodnh
shallicomparetheetoasummersdaythouartmorelovelyandmoretemperateroughwindsdoshakethedarlingbudsofmayandsummersleasehathalltooshortadatesometimetoohottheeyeofheavenshinesandoftenishisgoldcomplexiondimmedandeveryfairfromfairsometimedeclinesbychanceornatureschangingcourseuntrimmedbutthyeternalsummershallnotfadenorlosepossessionofthatfairthouowstnorshalldeathbragthouwandrestinhisshadewhenineternallinestotimethougrowstsolongasmencanbreatheoreyescanseesolonglivesthisandthisgiveslifetothee,pnorrecfjiodsznsszfopkjjsdpqogznfkodzjfdsrfhsrgoyqjfdszsjisdozsdfktnaeyqpqfpnowsznsqodreytmkqpfbjogoyqpkjjsdprsopsnoznorrzffpnfdzoqozspfjszejszffnfzznssgsfbnsohsypneyspoyqfbzsyepneptfrqcfjirsvefyqejjsqoyqshsdgboedbdfjboedpfjszejsqscreyspmgcnoycsfdyozkdspcnoyteytcfkdpskyzdejjsqmkzzngszsdyorpkjjsdpnorryfzboqsyfdrfpsifppsppefyfbznozboedznfkfapzyfdpnorrqsoznmdotznfkaoyqdspzeyneppnoqsansyeyszsdyorreyspzfzejsznfktdfapzpfrfytopjsycoymdsoznsfdsgspcoypsspfrfytrehspznepoyqzneptehsprebszfznss
devouringtimebluntthouthelionspawsandmaketheearthdevourherownsweetbroodpluckthekeenteethfromthefiercetigersjawsandburnthelonglivedphoenixinherbloodmakegladandsorryseasonsasthoufleetstanddowhateerthouwiltswiftfootedtimetothewideworldandallherfadingsweetsbutiforbidtheeonemostheinouscrimeocarvenotwiththyhoursmylovesfairbrownordrawnolinestherewiththineantiquepenhiminthycourseuntainteddoallowforbeautyspatterntosucceedingmenyetdothyworstoldtimedespitethywrongmyloveshallinmyverseeverliveyoung,bodrkjwcenwaosmkcnngrkngomwrcphqlpqcbaqyongooqjngbodrkjgojrlcploonsjrrbhmkiyngoyoocnoongzjrangozwojionweojptqlpqcbskjcngomrcemwdobhgrocwxwcgojsmrrbaqyoemqbqcbprjjvpoqprcpqpngrkzmoonpnqcbbrlgqnoojngrklwmnplwznzrrnobnwaonrngolwbolrjmbqcbqmmgojzqbwceploonpsknwzrjswbngoorcoarpngowcrkpijwaoriqjdocrnlwngngvgrkjpavmrdopzqwjsjrlcrjbjqlcrmwcopngojolwngngwcoqcnwfkohocgwawcngvirkjpokcnqwcnobbrqmmrlzrjsoqknvphqnnojcnrpkiioobwceaocvonbrngvlrjpnrmbnwaobophwnongvljrceavmrdopgqmmwcavdojpoodojmwdovrkce
awomansfacewithnaturesownhandpaintedhastthouthemastermistressofmypassionawomansgentleheartbutnotacquaintedwithshiftingchangeasisfalsewomensfashionaneyemorebrightthantheirslessfalseinrollinggildingtheobjectwhereuponitgazethamaninhueallhuesinhiscontrollingwhichstealsmenseyesandwomenssoulsamazethandforawomanwertthoufirstcreatedtillnatureasshewroughttheefelladotingandbyadditionmeoftheedefeatedbyaddingonethingtomypurposenothingbutsincesheprickedtheeoutforwomenspleasureminebethyloveandthylovesusetheirtreasure,tvantwemtbfvslrwtlzgfeavwrtwdktswlfdrtellrazlrfntelfgnselgfeeamnhkteesawtvantwejfwlxfrftglozlwaltbyztswlfdvslrersmlswjbrtwjftesemtxefvanfwemtersawtwfhfnagfogsjrllrtwlrfsgexfeemtxefswgaxxswjjsxdswjlrfaoqfblvrfgfzkawsljtiflrtntwswrzftxxrzfeswrsebawlgaxxswjvrsbrelftxenfwefhfetwdvanfweeazxetntiflrtwdmagtvantwvfgllrazmsgelbgftlfdlsxxwtlzgfteerfvgazjrllrffmfxxtdalswjtwdohtddslsawnfamlrffdfmftlfdohtddswjawflrswjlanhkzgkaefwalrswjozleswbferfkgsbufdlrffazlmagvanfwekxftezgfnswfoflrhxapftwdlrhxapfezeflrfsglgftezgf
soisitnotwithmeaswiththatmusestirredbyapaintedbeautytohisversewhoheavenitselfforornamentdothuseandeveryfairwithhisfairdothrehearsemakingacouplementofproudcomparewithsunandmoonwithearthandseasrichgemswithaprilsfirstbornflowersandallthingsrarethatheavensairinthishugerondurehemsoletmetrueinlovebuttrulywriteandthenbelievememyloveisasfairasanymotherschildthoughnotsobrightasthosegoldcandlesfixedinheavensairletthemsaymorethatlikeofhearsaywelliwillnotpraisethatpurposenottosell,cujcjwnuwejwmvkqcejwmwmqwvzckcwjrrkpfdqxqjnwkpfkqzwdwumjclkrckemumkqlknjwckyssururnqvknwpuwmzckqnpklkrdsqjrejwmmjcsqjrpuwmrkmkqrckvqijngqhuzxykvknwusxruzphuvxqrkejwmcznqnpvuunejwmkqrwmqnpckqcrjhmgkvcejwmqxrjycsjrcwfurnsyuekrcqnpqyywmjngcrqrkwmqwmkqlkncqjrjnwmjcmzgkrunpzrkmkvcuykwvkwrzkjnyulkfzwwrzyderjwkqnpwmknfkyjklkvkvdyulkjcqcsqjrqcqndvuwmkrchmjypwmuzgmnuwcufrjgmwqcwmuckguyphqnpykcsjokpjnmkqlkncqjrykwwmkvcqdvurkwmqwyjikusmkqrcqdekyyjejyynuwxrqjckwmqwxzrxucknuwwuckyy
myglassshallnotpersuademeiamoldsolongasyouthandthouareofonedatebutwhenintheetimesfurrowsibeholdthenlookideathmydaysshouldexpiateforallthatbeautythatdothcovertheeisbuttheseemlyraimentofmyheartwhichinthybreastdothliveasthineinmehowcanithenbeelderthanthouartothereforelovebeofthyselfsowaryasinotformyselfbutfortheewillbearingthyheartwhichiwillkeepsocharyastendernurseherbabefromfaringillpresumenotonthyheartwhenmineisslainthougavstmethinenottogivebackagain,vldzgkkkngzzsmbrackyguavaogvmzukmzmsdgklmybngsubnmygcamimsaugbaqybwnasosbnaabovakiyccmwkoqanmzubnaszmmfouagbnvluglkknmyzuajrogbaimcgzzbngbqagyblbngbumbnhmtacbnaaokqybbnakaavzlcgovasbmivlnagcbwnohnosbnlqcagkbumbnzotagkbnosaosvanmwhgsobnasqaazuacbngsbnmygcbmbnacaimcazmtaqamibnlkazikmwgclgkosmbimcvlkaziqybimcbnaawozzqagcosdbnlnagcbwnohnowozzfaarkmhngclgkbasuacsyckanacqgqaicmvigcosdozzrcakyvasmbmsbnlnagcbwnasvosaokkzgosbnmydgtkbvabnosasmbbmdotaqghfgdgos
